,name,salary_from,salary_to,days,company,city
0,менеджер,45000,65000,1,Бохо,
1,повар универсал,45000,80000,1,Ачишхо,Красная Поляна
2,администратор,20000,30000,1,Отель Понтос,
3,администратор,20000,25000,1,Гостиничный Комплекс Эмераль,Анапа
4,повар-универсал,30000,,1,Ресторан Роллер-Костер,Сочи
5,администратор,18000,22000,1,Бутик-отель Монарх,Краснодар
6,администратор,20000,25000,1,Отель Баунти,Сочи
7,пекарь-тестомес,25200,32400,1,"МАГНИТ, Розничная сеть",
8,повар кулинарии,29000,37200,1,"МАГНИТ, Розничная сеть",
9,повар-сушист,30000,35000,1,Сухарев Роман Вячеславович,
10,торговый представитель,25000,45000,1,Flute service,
11,менеджер,30000,50000,1,АэроЭкспресс,Краснодар
12,аниматор,20000,25000,1,"JAZZ, туристическая компания",
13,су-шеф итальянской,70000,70000,1,Matreshka,Краснодар
14,администратор,,27000,1,НАО Центр «Омега»,Адлер
15,повар-сушист,32000,38000,1,"Суши Шоп, г. Адлер",Сочи
16,повар,25000,,1,Частный пансионат Улыбка,
17,ведущий аниматор,20000,,1,Частный пансионат Улыбка,
18,бариста,22000,,1,Desertoria,Краснодар
19,консьерж,,25000,1,Mriya Resort & SPA,Ялта
20,менеджер,24000,,1,БУРГЕР КИНГ РОССИЯ,
21,администратор,,25000,1,Mriya Resort & SPA,Ялта
22,агент,,25000,1,Mriya Resort & SPA,Ялта
23,кухонный работник,,20000,1,Песочная бухта,
24,стюардесса,800,1000,1,Школа морского сервиса Омегашип,Краснодар
25,официант,22000,,1,Песочная бухта,
26,горничная,,23000,1,Песочная бухта,
27,хостес,20000,35000,1,DelMar Family Project,Сочи
28,помощник официанта,20000,25000,1,DelMar Family Project,Сочи
29,бармен,,33000,1,Песочная бухта,Севастополь
30,бармен,20000,,1,Аэропорт Девелопмент,Краснодар
31,бариста,,25000,1,Аэропорт Девелопмент,Краснодар
32,повар,30000,50000,1,Отель Фортуна,Алушта
33,шеф-повар,60000,,1,Ткаченко Оксана Вениаминовна,
34,повар раздачи,35000,,1,Суп Групп,Краснодар
35,бариста,25000,,1,Бахмацкий Александр Михайлович,Краснодар
36,бар-менеджер,30000,,1,Alean Family Resort Collection,Сочи
37,повар кулинарии,23200,29400,1,"МАГНИТ, Розничная сеть",
38,официант,40000,55000,1,DelMar Family Project,Сочи
39,повар-сушист,45000,,1,MYBOX,
40,повар-сушист,45000,,1,MYBOX,
41,мясник,25000,,1,PIZZA BAR,Симферополь
42,пекарь,25000,,2,PIZZA BAR,Симферополь
43,кондитер,25000,,2,PIZZA BAR,Симферополь
44,бармен,28000,,2,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Краснодар
45,повар-сушист,25000,30000,2,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Краснодар
46,повар,,30000,2,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Краснодар
47,шеф-повар,60000,,2,ЯЕМ,Краснодар
48,главный бухгалтер,40000,45000,2,Трэвл Центр,Сочи
49,мойщик посуды,20000,,2,Alean Family Resort Collection,Сочи
50,су-шеф,40000,,2,"Любо, Сеть ресторанов",Краснодар
51,менеджер,,80000,2,АренаФудс,
52,специалист,,35000,2,Hyatt Regency Sochi (Хаятт Ридженси Сочи),Сочи
53,бармен/бариста,,31000,2,Hyatt Regency Sochi (Хаятт Ридженси Сочи),Сочи
54,sales coordinator,,42000,2,Hyatt Regency Sochi (Хаятт Ридженси Сочи),Сочи
55,официант,,30000,2,Hyatt Regency Sochi (Хаятт Ридженси Сочи),Сочи
56,events executive,,42000,2,Hyatt Regency Sochi (Хаятт Ридженси Сочи),Сочи
57,официант,,25000,2,Hyatt Regency Sochi (Хаятт Ридженси Сочи),Сочи
58,горничная,,30000,2,Hyatt Regency Sochi (Хаятт Ридженси Сочи),Сочи
59,хостес,,30000,2,Hyatt Regency Sochi (Хаятт Ридженси Сочи),Сочи
60,подсобный рабочий,,20000,2,Гранд отель Жемчужина,Сочи
61,повар холодного,30000,,2,"Любо, Сеть ресторанов",Краснодар
62,повар,27000,27000,2,"Норильский никель, ГМК",Сочи
63,официант,23000,23000,2,"Норильский никель, ГМК",Сочи
64,кухонный работник,22000,22000,2,"Норильский никель, ГМК",
65,матрос-спасатель,22000,22000,2,"Норильский никель, ГМК",Сочи
66,изготовитель полуфабрикатов,27000,27000,2,"Норильский никель, ГМК",Сочи
67,начинающий специалист,100000,180000,2,Олимп,Сочи
68,младший менеджер,30000,55000,2,Автомама,Краснодар
69,консультант,50000,,2,Автомама,Краснодар
70,су-шеф,60000,,2,Куцый Василий Андреевич,
71,су-шеф,60000,,2,Куцый Василий Андреевич,
72,повар-сушист,30000,35000,2,Куцый Василий Андреевич,
73,менеджер,20000,25000,2,Сафари-парк,Краснодар
74,повар,25000,,2,PIZZA BAR,Симферополь
75,официант,25000,,2,Сафари-парк,Краснодар
76,повар,25000,,2,PIZZA BAR,Симферополь
77,повар-сушист,40000,,2,Сафари-парк,Краснодар
78,специалист call-центра,27000,27500,2,ФГАУ ОК Дагомыс УДП РФ,Сочи
79,повар-универсал,25000,,2,PIZZA BAR,Симферополь
80,повар холодного,25000,,2,PIZZA BAR,Симферополь
81,повар горячего,25000,,2,PIZZA BAR,Симферополь
82,менеджер,25000,40000,2,"Undersun, группа компаний",
83,пиццмейкер,25000,,2,PIZZA BAR,Симферополь
84,официант,15000,30000,2,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Краснодар
85,менеджер,15000,50000,2,1001 тур,
86,повар,36000,44000,2,РЕОЛ,
87,бармен,,30000,2,РЕОЛ,
88,администратор,30000,30000,2,РЕОЛ,
89,официант,30000,50000,2,РЕОЛ,Адлер
90,администратор,30000,30000,2,РЕОЛ,Сочи
91,повар,28000,35000,2,МегаСтафГрупп,Сочи
92,повар,33500,,2,Radisson Blu Resort & Congress Centre,Сочи
93,официант,30000,50000,2,РЕОЛ,Сочи
94,повар-универсал,30000,44000,2,РЕОЛ,Сочи
95,администратор,90000,150000,2,ИСМИРА,Сочи
96,менеджер,,48000,2,Radisson Blu Resort & Congress Centre,Сочи
97,администратор,,30000,2,Хостел Морской,Сочи
98,повар универсал,38000,45000,2,Банкетный зал Рафаэль,
99,шеф-повар,80000,120000,2,DelMar Family Project,Сочи
100,повар,25000,33000,2,РЕСТА НОВА,
101,повар,34000,34000,2,НАДИ,Краснодар
102,бармен,25000,30000,2,РЕСТА НОВА,
103,менеджер,40000,45000,2,РЕСТА НОВА,
104,консьерж,30000,30000,2,Apart Polyana,Красная Поляна
105,менеджер,50000,90000,2,ресторан Станъ,Краснодар
106,менеджер,25000,27000,2,SUBWAY,Краснодар
107,администратор,15000,30000,2,Ахиллеон Парк Бутик Отель 4*,Геленджик
108,повар-универсал,35000,40000,2,Куцый Василий Андреевич,
109,повар-универсал,35000,40000,2,Куцый Василий Андреевич,
110,повар-универсал,35000,40000,2,Куцый Василий Андреевич,
111,cтюардесса/стюард,120000,180000,2,ГК Морской персонал,Краснодар
112,пиццмейкер,,25000,2,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Краснодар
113,специалист,20000,40000,2,Проф Паблисити,Новороссийск
114,бармен,25000,,2,АТЭК,Новороссийск
115,администратор,17000,20000,2,Карапетьян А.А.,Краснодар
116,менеджер,30000,40000,2,РЕСТАР,
117,горничная,18000,,2,Новый Свет,
118,уборщик,22000,,2,МегаСтафГрупп,Сочи
119,горничная,25000,25000,2,Аэропорт Девелопмент,Геленджик
120,помощник повара,13000,18000,2,"Лента, федеральная розничная сеть",Краснодар
121,руководитель отдела,50000,60000,2,РЕОЛ,
122,официант-бармен,28000,35000,2,МегаСтафГрупп,Сочи
123,официант,20000,,2,Сеть ресторанов быстрого обслуживания [Ёха],Краснодар
124,бармен-кассир,25000,,2,Сеть ресторанов быстрого обслуживания [Ёха],Краснодар
125,менеджер,25000,,2,Сеть ресторанов быстрого обслуживания [Ёха],Краснодар
126,продавец-кассир,25000,,2,Сеть ресторанов быстрого обслуживания [Ёха],Краснодар
127,администратор,20000,,2,СКО Адлеркурорт,Сочи
128,администратор,27000,,2,Palmira Palace,
129,хаусмен,25000,25000,2,Мостовик Девелопмент,Сочи
130,официант,25000,,2,Аэропорт Девелопмент,Анапа
131,администратор,25000,,2,СКО Адлеркурорт,Сочи
132,матрос-спасатель,15000,,2,СКО Адлеркурорт,Сочи
133,бармен,30000,,2,Инал Бэй,Краснодар
134,администратор,35000,,2,Монолит,
135,мойщик посуды,20000,,2,"ФГБУ Объединенный санаторий Сочи, УДП РФ",Сочи
136,повар-универсал,23000,,2,"ФГБУ Объединенный санаторий Сочи, УДП РФ",Сочи
137,бармен,30000,,2,Аукцион,Красная Поляна
138,матрос-спасатель,25000,,2,Юниверсити Плаза,Сочи
139,аниматор,30000,30000,2,Вилла Феллини,Судак
140,администратор,35000,35000,2,Вилла Феллини,Судак
141,аниматор,30000,,2,"JAZZ, туристическая компания",
142,пекарь,30000,,2,Перекресток,Сочи
143,агент,33333,33333,2,"Красная Поляна, НАО",Сочи
144,официант,25000,25000,2,Клиника Екатерининская,Краснодар
145,официант,15000,,2,Гостиница Севастополь и СПА,Севастополь
146,шеф-повар,50000,,2,Сафари-парк,Краснодар
147,менеджер,50000,70000,2,Южный Берег,Сочи
148,су-шеф,30000,40000,2,"Фанагория, АПФ",
149,отельный гид,40000,,2,Библио Глобус Крым,Симферополь
150,повар,25000,30000,2,Гостиница Севастополь и СПА,Севастополь
151,повар универсал,30000,,2,Гостиница Севастополь и СПА,Севастополь
